,STATION,NAME,DATE,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,DT,year
0,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-01,0.0,",,0,2400",,,,,,,69,",,0",50,",,0",2010-01-01,2010
1,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-02,0.0,",,0,2400",,,,,,,76,",,0",55,",,0",2010-01-02,2010
2,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-03,0.0,",,0,2400",,,,,,,80,",,0",52,",,0",2010-01-03,2010
3,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-04,0.0,",,0,2400",,,,,,,75,",,0",53,",,0",2010-01-04,2010
4,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-05,0.0,",,0,2400",,,,,,,76,",,0",52,",,0",2010-01-05,2010
5,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-06,0.0,",,0,2400",,,,,,,73,",,0",51,",,0",2010-01-06,2010
6,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-07,0.0,",,0,2400",,,,,,,67,",,0",48,",,0",2010-01-07,2010
7,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-08,0.0,",,0,2400",,,,,,,77,",,0",50,",,0",2010-01-08,2010
8,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-09,0.0,",,0,2400",,,,,,,75,",,0",57,",,0",2010-01-09,2010
9,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-10,0.0,",,0,2400",,,,,,,74,",,0",52,",,0",2010-01-10,2010
10,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-11,0.0,",,0,2400",,,,,,,77,",,0",50,",,0",2010-01-11,2010
